,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
89,0,1,0,2018-09-30,2,784,4,3,1,34.9,6.6,-0.366861421,0.902191475,-2.608135938,-0.700699175,0.757230635,1.4637242,0,2,6,2,15.73587592,6,4.666666667,2018,9,0.155686498,0,6
90,1,0,0,2018-09-30,2,784,6,5,1,19.3,3.4,-0.621577566,-0.392489417,0.556654525,0.815036445,0.16103162,0.246664696,0,10,2,3,15.69518195,4,6.333333333,2018,9,0.253550947,0,5
91,0,0,1,2018-09-30,2,784,12,3,1,27.6,6.6,0.142570869,0.295309807,1.132070973,1.454755235,-0.085512995,0.816097677,0,9,3,4,15.83599363,7,4,2018,9,0.159614593,0,4
92,1,0,0,2018-09-30,2,784,5,3,1,15.2,2.3,0.142570869,-0.109277972,0.125092189,1.633189194,0.419712489,0.758342192,1,12,1,9,15.92736995,9,3.333333333,2018,9,0.315698326,1,3
93,0,1,0,2018-09-30,2,784,1,3,1,3.7,1.4,0.906719304,0.23462164,0.844362749,2.179073648,-0.136097654,0.203598337,1,5,1,12,15.84616514,8,7.666666667,2018,9,0.557122409,1,1
94,0,0,1,2018-09-30,1,3464,7,3,1,10.2,2.5,-1.385726,-0.675700862,-1.888865379,-1.256236338,1.341677639,0.529139324,1,4,2,10,15.60360497,7,5.333333333,2018,9,0.231441826,0,9
95,0,0,1,2018-09-30,1,3464,4,3,1,6,1.5,0.652003159,-0.736389029,0.844362749,0.553227565,0.642557146,0.990469498,0,10,2,3,15.83477579,8,4,2018,9,0.458172292,0,4
96,1,0,0,2018-09-29,13,6149,3,4,1,62.9,7.1,-0.87629371,0.032327751,3.002174428,0.345079252,0.814840411,1.354192734,1,12,2,2,15.88206492,5,7.333333333,2018,9,0.087373123,0,12
97,0,1,0,2018-09-29,13,6149,5,7,1,112.9,18.4,-0.87629371,-0.210424916,0.268946301,1.593387169,-1.440232093,-1.130811745,1,9,6,7,15.37653181,2,6.333333333,2018,9,0.04149228,0,11
98,0,1,0,2018-09-29,13,6149,12,5,1,62.1,6.6,-0.87629371,0.275080418,-0.881886595,1.793262558,-1.127157253,1.149678553,1,2,10,2,15.7825654,4,5,2018,9,0.097227424,0,10
